yaw:  -54.0614049033 Yaw vel:  -0.808 Yaw acc:  -9.81 yaw Deseada:  -83.2134272152 Control: 1427.13738693 Error:  29.1520223119 
yaw:  -54.0614049033 Yaw vel:  -0.684 Yaw acc:  -9.88 yaw Deseada:  -80.4924403945 Control: 1433.92952993 Error:  26.4310354912 
yaw:  -57.6389965189 Yaw vel:  -0.684 Yaw acc:  -9.88 yaw Deseada:  -77.4190023541 Control: 1450.56738434 Error:  19.7800058353 
yaw:  -57.6389965189 Yaw vel:  -0.551 Yaw acc:  -9.99 yaw Deseada:  -74.0261921525 Control: 1459.04088565 Error:  16.3871956336 
yaw:  -57.6389965189 Yaw vel:  -0.551 Yaw acc:  -9.99 yaw Deseada:  -70.3502557164 Control: 1468.23146649 Error:  12.7112591975 
yaw:  -60.1799430033 Yaw vel:  -0.288 Yaw acc:  -10.55 yaw Deseada:  -66.4301300073 Control: 1484.39143007 Error:  6.25018700393 
yaw:  -61.3510950498 Yaw vel:  -0.288 Yaw acc:  -10.55 yaw Deseada:  -62.3069333234 Control: 1497.62424937 Error:  0.955838273686 
yaw:  -61.3510950498 Yaw vel:  -0.138 Yaw acc:  -10.05 yaw Deseada:  -58.0234284813 Control: 1508.33036708 Error:  -3.32766656843 
yaw:  -61.3510950498 Yaw vel:  -0.138 Yaw acc:  -10.05 yaw Deseada:  -53.6234659724 Control: 1519.33057687 Error:  -7.72762907738 
yaw:  -61.7779204012 Yaw vel:  -0.012 Yaw acc:  -9.95 yaw Deseada:  -49.1514144549 Control: 1531.57907239 Error:  -12.6265059462 
yaw:  -61.7779204012 Yaw vel:  -0.012 Yaw acc:  -9.95 yaw Deseada:  -44.6515861043 Control: 1542.82759897 Error:  -17.1263342969 
yaw:  -61.5300528362 Yaw vel:  0.105 Yaw acc:  -9.94 yaw Deseada:  -40.1676644091 Control: 1553.41704379 Error:  -21.3623884271 
yaw:  -60.7587332336 Yaw vel:  0.105 Yaw acc:  -9.94 yaw Deseada:  -35.7421419666 Control: 1562.55102914 Error:  -25.016591267 
yaw:  -60.7587332336 Yaw vel:  0.195 Yaw acc:  -9.94 yaw Deseada:  -31.4157756957 Control: 1573.36870066 Error:  -29.3429575379 
yaw:  -59.4718436317 Yaw vel:  0.195 Yaw acc:  -9.94 yaw Deseada:  -27.2270666501 Control: 1580.61952561 Error:  -32.2447769816 
yaw:  -59.4718436317 Yaw vel:  0.311 Yaw acc:  -9.96 yaw Deseada:  -23.2117712908 Control: 1590.66067287 Error:  -36.2600723409 
yaw:  -59.4718436317 Yaw vel:  0.311 Yaw acc:  -9.96 yaw Deseada:  -19.402450654 Control: 1600.18343538 Error:  -40.0693929777 
yaw:  -57.0641234021 Yaw vel:  0.501 Yaw acc:  -9.91 yaw Deseada:  -15.8280633492 Control: 1603.09319812 Error:  -41.2360600529 
yaw:  -57.0641234021 Yaw vel:  0.501 Yaw acc:  -9.91 yaw Deseada:  -12.51360774 Control: 1611.38494761 Error:  -44.5505156621 
yaw:  -53.6817215176 Yaw vel:  0.703 Yaw acc:  -9.97 yaw Deseada:  -9.47981800689 Control: 1610.50384817 Error:  -44.2019035107 
yaw:  -49.0518026566 Yaw vel:  0.703 Yaw acc:  -9.97 yaw Deseada:  -6.74291807709 Control: 1605.76726712 Error:  -42.3088845795 
yaw:  -49.0518026566 Yaw vel:  0.887 Yaw acc:  -9.93 yaw Deseada:  -4.31443663841 Control: 1611.84975738 Error:  -44.7373660182 
yaw:  -43.5390920907 Yaw vel:  0.887 Yaw acc:  -9.93 yaw Deseada:  -2.20108564504 Control: 1603.33613896 Error:  -41.3380064456 
yaw:  -43.5390920907 Yaw vel:  0.996 Yaw acc:  -9.81 yaw Deseada:  -0.404703881144 Control: 1607.84066122 Error:  -43.1343882095 
yaw:  -43.5390920907 Yaw vel:  0.996 Yaw acc:  -9.81 yaw Deseada:  1.07773371408 Control: 1611.54593511 Error:  -44.6168258047 
yaw:  -37.6909406893 Yaw vel:  1.0 Yaw acc:  -9.95 yaw Deseada:  2.25404112753 Control: 1599.85025758 Error:  -39.9449818169 
yaw:  -37.6909406893 Yaw vel:  1.0 Yaw acc:  -9.95 yaw Deseada:  3.13668179654 Control: 1602.07136036 Error:  -40.8276224859 
yaw:  -31.9226102937 Yaw vel:  1.057 Yaw acc:  -9.99 yaw Deseada:  3.7425664688 Control: 1589.14946645 Error:  -35.6651767625 
yaw:  -25.7685227666 Yaw vel:  1.057 Yaw acc:  -9.99 yaw Deseada:  4.09279112053 Control: 1574.6381363 Error:  -29.8613138872 
yaw:  -25.7685227666 Yaw vel:  1.008 Yaw acc:  -10.02 yaw Deseada:  4.21231845011 Control: 1574.95241499 Error:  -29.9808412167 
yaw:  -20.5358431265 Yaw vel:  1.008 Yaw acc:  -10.02 yaw Deseada:  4.12960721182 Control: 1561.64975478 Error:  -24.6654503383 
yaw:  -20.5358431265 Yaw vel:  0.889 Yaw acc:  -9.87 yaw Deseada:  3.8761943461 Control: 1561.02943243 Error:  -24.4120374726 
yaw:  -20.5358431265 Yaw vel:  0.889 Yaw acc:  -9.87 yaw Deseada:  3.48623548804 Control: 1560.05417908 Error:  -24.0220786145 
yaw:  -15.5044150103 Yaw vel:  0.857 Yaw acc:  -10.08 yaw Deseada:  2.99600998817 Control: 1546.23665693 Error:  -18.5004249984 
yaw:  -15.5044150103 Yaw vel:  0.857 Yaw acc:  -10.08 yaw Deseada:  2.44339705024 Control: 1544.86808855 Error:  -17.9478120605 
yaw:  -10.7649484527 Yaw vel:  0.803 Yaw acc:  -10.06 yaw Deseada:  1.86732997411 Control: 1531.56683066 Error:  -12.6322784268 
yaw:  -10.7649484527 Yaw vel:  0.803 Yaw acc:  -10.06 yaw Deseada:  1.30723578299 Control: 1530.17899973 Error:  -12.0721842357 
yaw:  -6.26491545723 Yaw vel:  0.733 Yaw acc:  -10.0 yaw Deseada:  0.802467708903 Control: 1517.65540532 Error:  -7.06738316613 
yaw:  -6.26491545723 Yaw vel:  0.733 Yaw acc:  -10.0 yaw Deseada:  0.39173810638 Control: 1516.64056281 Error:  -6.65665356361 
yaw:  -2.39160439826 Yaw vel:  0.652 Yaw acc:  -9.99 yaw Deseada:  0.112559359829 Control: 1506.24958152 Error:  -2.50416375809 
yaw:  -2.39160439826 Yaw vel:  0.652 Yaw acc:  -9.99 yaw Deseada:  0.000700246057596 Control: 1505.98046996 Error:  -2.39230464432 
yaw:  0.971703585739 Yaw vel:  0.57 Yaw acc:  -9.97 yaw Deseada:  0.0896650102447 Control: 1497.78636699 Error:  0.882038575495 
yaw:  0.971703585739 Yaw vel:  0.57 Yaw acc:  -9.97 yaw Deseada:  0.41020211474 Control: 1498.59708192 Error:  0.561501470999 
yaw:  3.90459460603 Yaw vel:  0.501 Yaw acc:  -9.91 yaw Deseada:  0.989849228982 Control: 1492.70700246 Error:  2.91474537705 
yaw:  3.90459460603 Yaw vel:  0.501 Yaw acc:  -9.91 yaw Deseada:  1.85252055085 Control: 1494.87206335 Error:  2.05207405518 
yaw:  6.52084563363 Yaw vel:  0.453 Yaw acc:  -9.94 yaw Deseada:  3.01814199119 Control: 1491.23946026 Error:  3.50270364244 
yaw:  6.52084563363 Yaw vel:  0.453 Yaw acc:  -9.94 yaw Deseada:  4.50233912156 Control: 1494.9576015 Error:  2.01850651208 
yaw:  8.90189141321 Yaw vel:  0.415 Yaw acc:  -9.85 yaw Deseada:  6.31618208833 Control: 1493.5342487 Error:  2.58570932488 
yaw:  11.1019943826 Yaw vel:  0.415 Yaw acc:  -9.85 yaw Deseada:  8.4659909444 Control: 1493.40986036 Error:  2.63600343821 
yaw:  11.1019943826 Yaw vel:  0.384 Yaw acc:  -9.91 yaw Deseada:  10.9532040513 Control: 1499.6345041 Error:  0.148790331363 
yaw:  11.1019943826 Yaw vel:  0.384 Yaw acc:  -9.91 yaw Deseada:  13.7743113711 Control: 1506.68814166 Error:  -2.67231698845 
yaw:  12.9493539399 Yaw vel:  0.297 Yaw acc:  -9.85 yaw Deseada:  16.9208536113 Control: 1509.93213335 Error:  -3.97149967145 
yaw:  12.9493539399 Yaw vel:  0.297 Yaw acc:  -9.85 yaw Deseada:  20.3794873137 Control: 1518.58434186 Error:  -7.43013337383 
yaw:  14.5061555423 Yaw vel:  0.289 Yaw acc:  -9.85 yaw Deseada:  24.1321151076 Control: 1524.07061771 Error:  -9.62595956529 
yaw:  14.5061555423 Yaw vel:  0.289 Yaw acc:  -9.85 yaw Deseada:  28.1560794873 Control: 1534.13528894 Error:  -13.649923945 
yaw:  16.050474974 Yaw vel:  0.282 Yaw acc:  -9.8 yaw Deseada:  32.4244176314 Control: 1540.94194983 Error:  -16.3739426574 
yaw:  17.5865401221 Yaw vel:  0.282 Yaw acc:  -9.8 yaw Deseada:  36.9061739765 Control: 1548.30675438 Error:  -19.3196338543 
yaw:  17.5865401221 Yaw vel:  0.274 Yaw acc:  -9.86 yaw Deseada:  41.566766492 Control: 1559.96269972 Error:  -23.9802263699 
yaw:  17.5865401221 Yaw vel:  0.274 Yaw acc:  -9.86 yaw Deseada:  46.3684018937 Control: 1571.96715435 Error:  -28.7818617715 
yaw:  19.1142177979 Yaw vel:  0.289 Yaw acc:  -9.77 yaw Deseada:  51.2705343846 Control: 1580.3995753 Error:  -32.1563165866 
yaw:  19.1142177979 Yaw vel:  0.289 Yaw acc:  -9.77 yaw Deseada:  56.230361936 Control: 1592.80326984 Error:  -37.116144138 
yaw:  20.9366983912 Yaw vel:  0.369 Yaw acc:  -9.8 yaw Deseada:  61.2033536235 Control: 1600.67483755 Error:  -40.2666552324 
yaw:  20.9366983912 Yaw vel:  0.369 Yaw acc:  -9.8 yaw Deseada:  66.1438011213 Control: 1613.03061365 Error:  -45.2071027302 
yaw:  23.4382022407 Yaw vel:  0.514 Yaw acc:  -9.8 yaw Deseada:  71.005387136 Control: 1618.92410349 Error:  -47.5671848953 
yaw:  27.1858433685 Yaw vel:  0.514 Yaw acc:  -9.8 yaw Deseada:  75.7417633373 Control: 1621.39237252 Error:  -48.5559199688 
yaw:  27.1858433685 Yaw vel:  0.724 Yaw acc:  -9.7 yaw Deseada:  80.3071302133 Control: 1632.81509475 Error:  -53.1212868448 
yaw:  32.0748688707 Yaw vel:  0.724 Yaw acc:  -9.7 yaw Deseada:  84.6568112514 Control: 1631.45345287 Error:  -52.5819423807 
yaw:  32.0748688707 Yaw vel:  0.918 Yaw acc:  -9.78 yaw Deseada:  88.7478139185 Control: 1641.69300426 Error:  -56.6729450478 
yaw:  32.0748688707 Yaw vel:  0.918 Yaw acc:  -9.78 yaw Deseada:  92.5393700857 Control: 1651.1711149 Error:  -60.464501215 
yaw:  37.9356663673 Yaw vel:  1.071 Yaw acc:  -9.72 yaw Deseada:  95.9934488123 Control: 1645.13819677 Error:  -58.057782445 
yaw:  44.6295966785 Yaw vel:  1.071 Yaw acc:  -9.72 yaw Deseada:  99.0752347648 Control: 1636.10470164 Error:  -54.4456380863 
yaw:  44.6295966785 Yaw vel:  1.206 Yaw acc:  -9.93 yaw Deseada:  101.753566 Control: 1642.81688785 Error:  -57.1239693216 
yaw:  51.6972442052 Yaw vel:  1.206 Yaw acc:  -9.93 yaw Deseada:  104.001325374 Control: 1630.74767071 Error:  -52.3040811687 
yaw:  51.6972442052 Yaw vel:  1.274 Yaw acc:  -9.98 yaw Deseada:  105.795780445 Control: 1635.25100597 Error:  -54.0985362403 
yaw:  59.1603118735 Yaw vel:  1.274 Yaw acc:  -9.98 yaw Deseada:  107.118867429 Control: 1619.88042707 Error:  -47.9585555559 
yaw:  59.1603118735 Yaw vel:  1.3 Yaw acc:  -9.94 yaw Deseada:  107.957415476 Control: 1621.99493875 Error:  -48.7971036025 
yaw:  59.1603118735 Yaw vel:  1.3 Yaw acc:  -9.94 yaw Deseada:  108.303308353 Control: 1622.85839024 Error:  -49.1429964795 
yaw:  66.600027125 Yaw vel:  1.273 Yaw acc:  -10.06 yaw Deseada:  108.153581421 Control: 1603.86416095 Error:  -41.553554296 
