yaw:  93.8092673065 Yaw vel:  0.867 Yaw acc:  -10.07 yaw Deseada:  89.6764684889 Control: 1489.6513398 Error:  4.13279881759 
yaw:  98.2174987176 Yaw vel:  0.709 Yaw acc:  -9.91 yaw Deseada:  85.6529554025 Control: 1468.55082555 Error:  12.564543315 
yaw:  98.2174987176 Yaw vel:  0.709 Yaw acc:  -9.91 yaw Deseada:  81.3608649659 Control: 1457.83916858 Error:  16.8566337517 
yaw:  101.716707082 Yaw vel:  0.582 Yaw acc:  -9.86 yaw Deseada:  76.8427096595 Control: 1437.77905951 Error:  24.8739974227 
yaw:  101.716707082 Yaw vel:  0.582 Yaw acc:  -9.86 yaw Deseada:  72.1428163654 Control: 1426.04420375 Error:  29.5738907168 
yaw:  104.675107899 Yaw vel:  0.466 Yaw acc:  -9.76 yaw Deseada:  67.3067696098 Control: 1406.54421727 Error:  37.3683382888 
yaw:  104.675107899 Yaw vel:  0.466 Yaw acc:  -9.76 yaw Deseada:  62.3808398388 Control: 1394.24225368 Error:  42.2942680597 
yaw:  106.438396365 Yaw vel:  0.217 Yaw acc:  -9.92 yaw Deseada:  57.411404224 Control: 1377.40235061 Error:  49.0269921409 
yaw:  106.438396365 Yaw vel:  0.217 Yaw acc:  -9.92 yaw Deseada:  52.4443675864 Control: 1364.99267431 Error:  53.9940287785 
yaw:  106.506390898 Yaw vel:  -0.116 Yaw acc:  -9.87 yaw Deseada:  47.5245910281 Control: 1352.52315702 Error:  58.9817998699 
yaw:  106.506390898 Yaw vel:  -0.116 Yaw acc:  -9.87 yaw Deseada:  42.6953357536 Control: 1340.45073215 Error:  63.8110551445 
yaw:  104.45094109 Yaw vel:  -0.482 Yaw acc:  -9.86 yaw Deseada:  37.9977293603 Control: 1333.85513836 Error:  66.4532117297 
yaw:  104.45094109 Yaw vel:  -0.482 Yaw acc:  -9.86 yaw Deseada:  33.4702615822 Control: 1322.52802899 Error:  70.9806795078 
yaw:  100.096019305 Yaw vel:  -0.857 Yaw acc:  -9.84 yaw Deseada:  29.148316075 Control: 1322.63088956 Error:  70.9477032304 
yaw:  100.096019305 Yaw vel:  -0.857 Yaw acc:  -9.84 yaw Deseada:  25.0637443573 Control: 1312.40102896 Error:  75.0322749481 
yaw:  93.938617429 Yaw vel:  -1.137 Yaw acc:  -10.06 yaw Deseada:  21.2444874613 Control: 1318.2751397 Error:  72.6941299677 
yaw:  93.938617429 Yaw vel:  -1.137 Yaw acc:  -10.06 yaw Deseada:  17.7142502171 Control: 1309.42328437 Error:  76.2243672119 
yaw:  86.5710016543 Yaw vel:  -1.354 Yaw acc:  -10.21 yaw Deseada:  14.4922323959 Control: 1319.82162539 Error:  72.0787692584 
yaw:  86.5710016543 Yaw vel:  -1.354 Yaw acc:  -10.21 yaw Deseada:  11.5929201865 Control: 1312.54182595 Error:  74.9780814679 
yaw:  77.9526006577 Yaw vel:  -1.472 Yaw acc:  -10.28 yaw Deseada:  9.02594068125 Control: 1327.7104177 Error:  68.9266599765 
yaw:  77.9526006577 Yaw vel:  -1.472 Yaw acc:  -10.28 yaw Deseada:  6.79598121527 Control: 1322.09847841 Error:  71.1566194424 
yaw:  69.1485892704 Yaw vel:  -1.496 Yaw acc:  -10.11 yaw Deseada:  4.90277454253 Control: 1339.41636557 Error:  64.2458147279 
yaw:  69.1485892704 Yaw vel:  -1.496 Yaw acc:  -10.11 yaw Deseada:  3.34114996585 Control: 1335.47441981 Error:  65.8074393045 
yaw:  60.4219434358 Yaw vel:  -1.486 Yaw acc:  -9.92 yaw Deseada:  2.10114966357 Control: 1354.23148292 Error:  58.3207937723 
yaw:  60.4219434358 Yaw vel:  -1.486 Yaw acc:  -9.92 yaw Deseada:  1.168208595 Control: 1351.86149302 Error:  59.2537348408 
yaw:  51.8750750104 Yaw vel:  -1.401 Yaw acc:  -9.9 yaw Deseada:  0.523395527043 Control: 1371.65611511 Error:  51.3516794833 
yaw:  51.8750750104 Yaw vel:  -1.401 Yaw acc:  -9.9 yaw Deseada:  0.143711916339 Control: 1370.66989573 Error:  51.731363094 
yaw:  43.9318621189 Yaw vel:  -1.303 Yaw acc:  -9.91 yaw Deseada:  0.00244461780637 Control: 1390.2113123 Error:  43.9294175011 
yaw:  43.9318621189 Yaw vel:  -1.303 Yaw acc:  -9.91 yaw Deseada:  0.0695676792727 Control: 1390.34456374 Error:  43.8622944396 
yaw:  36.5195632467 Yaw vel:  -1.214 Yaw acc:  -9.88 yaw Deseada:  0.312187834175 Control: 1409.51575048 Error:  36.2073754125 
yaw:  36.5195632467 Yaw vel:  -1.214 Yaw acc:  -9.88 yaw Deseada:  0.695027727544 Control: 1410.44037082 Error:  35.8245355191 
yaw:  29.6816627931 Yaw vel:  -1.1 Yaw acc:  -9.97 yaw Deseada:  1.1809404128 Control: 1428.78089451 Error:  28.5007223803 
yaw:  29.6816627931 Yaw vel:  -1.1 Yaw acc:  -9.97 yaw Deseada:  1.73144824468 Control: 1430.12692125 Error:  27.9502145484 
yaw:  23.7355203753 Yaw vel:  -0.954 Yaw acc:  -9.91 yaw Deseada:  2.30729897235 Control: 1446.4585582 Error:  21.4282214029 
yaw:  23.7355203753 Yaw vel:  -0.954 Yaw acc:  -9.91 yaw Deseada:  2.8690316107 Control: 1447.83628508 Error:  20.8664887646 
yaw:  18.3711444427 Yaw vel:  -0.82 Yaw acc:  -9.89 yaw Deseada:  3.3775445399 Control: 1462.5422068 Error:  14.9935999028 
yaw:  18.3711444427 Yaw vel:  -0.82 Yaw acc:  -9.89 yaw Deseada:  3.7946582553 Control: 1463.56064554 Error:  14.5764861874 
yaw:  13.8305431117 Yaw vel:  -0.699 Yaw acc:  -9.81 yaw Deseada:  4.08366526193 Control: 1475.6543501 Error:  9.74687784976 
yaw:  13.8305431117 Yaw vel:  -0.699 Yaw acc:  -9.81 yaw Deseada:  4.20985977937 Control: 1475.94885454 Error:  9.62068333231 
yaw:  10.0284593998 Yaw vel:  -0.576 Yaw acc:  -9.86 yaw Deseada:  4.14104019117 Control: 1485.29810099 Error:  5.88741920864 
yaw:  10.0284593998 Yaw vel:  -0.576 Yaw acc:  -9.86 yaw Deseada:  3.84797753495 Control: 1484.54748858 Error:  6.18048186486 
yaw:  6.9033315314 Yaw vel:  -0.466 Yaw acc:  -9.76 yaw Deseada:  3.30484377997 Control: 1491.01529196 Error:  3.59848775143 
yaw:  6.9033315314 Yaw vel:  -0.466 Yaw acc:  -9.76 yaw Deseada:  2.48959417215 Control: 1488.9620225 Error:  4.41373735925 
yaw:  4.39587389133 Yaw vel:  -0.37 Yaw acc:  -9.87 yaw Deseada:  1.38429853563 Control: 1492.47731103 Error:  3.0115753557 
yaw:  4.39587389133 Yaw vel:  -0.37 Yaw acc:  -9.87 yaw Deseada:  -0.0245829036635 Control: 1488.94257957 Error:  4.42045679499 
yaw:  2.39285090778 Yaw vel:  -0.302 Yaw acc:  -9.85 yaw Deseada:  -1.74598287153 Control: 1489.65417037 Error:  4.13883377931 
yaw:  2.39285090778 Yaw vel:  -0.302 Yaw acc:  -9.85 yaw Deseada:  -3.78407249105 Control: 1484.5486118 Error:  6.17692339883 
yaw:  0.742125132923 Yaw vel:  -0.251 Yaw acc:  -9.85 yaw Deseada:  -6.13817091247 Control: 1482.79612682 Error:  6.88029604539 
yaw:  0.742125132923 Yaw vel:  -0.251 Yaw acc:  -9.85 yaw Deseada:  -8.80272036895 Control: 1476.12601919 Error:  9.54484550187 
yaw:  -0.677556900099 Yaw vel:  -0.218 Yaw acc:  -9.93 yaw Deseada:  -11.7673270331 Control: 1472.26869509 Error:  11.089770133 
yaw:  -0.677556900099 Yaw vel:  -0.218 Yaw acc:  -9.93 yaw Deseada:  -15.0168671768 Control: 1464.13725619 Error:  14.3393102767 
yaw:  -1.8770774969 Yaw vel:  -0.179 Yaw acc:  -9.87 yaw Deseada:  -18.5316572719 Control: 1458.35324368 Error:  16.654579775 
yaw:  -1.8770774969 Yaw vel:  -0.179 Yaw acc:  -9.87 yaw Deseada:  -22.2876858213 Control: 1448.95676096 Error:  20.4106083244 
yaw:  -2.93731495516 Yaw vel:  -0.158 Yaw acc:  -9.8 yaw Deseada:  -26.2569038919 Control: 1441.68808159 Error:  23.3195889367 
yaw:  -2.93731495516 Yaw vel:  -0.158 Yaw acc:  -9.8 yaw Deseada:  -30.4075705422 Control: 1431.30589174 Error:  27.4702555871 
yaw:  -4.03977472187 Yaw vel:  -0.203 Yaw acc:  -9.91 yaw Deseada:  -34.7046486101 Control: 1423.32360224 Error:  30.6648738882 
yaw:  -4.03977472187 Yaw vel:  -0.203 Yaw acc:  -9.91 yaw Deseada:  -39.1102456564 Control: 1412.30422481 Error:  35.0704709345 
yaw:  -5.69192106936 Yaw vel:  -0.31 Yaw acc:  -9.93 yaw Deseada:  -43.5840942622 Control: 1405.25701682 Error:  37.8921731928 
yaw:  -5.69192106936 Yaw vel:  -0.31 Yaw acc:  -9.93 yaw Deseada:  -48.0840653535 Control: 1393.99962756 Error:  42.3921442842 
yaw:  -8.15216459991 Yaw vel:  -0.31 Yaw acc:  -9.93 yaw Deseada:  -52.5667077883 Control: 1388.95464959 Error:  44.4145431884 
yaw:  -8.15216459991 Yaw vel:  -0.473 Yaw acc:  -9.84 yaw Deseada:  -56.9878070906 Control: 1377.89123862 Error:  48.8356424907 
yaw:  -11.6333233359 Yaw vel:  -0.655 Yaw acc:  -9.89 yaw Deseada:  -61.3029559607 Control: 1375.82221127 Error:  49.6696326248 
yaw:  -11.6333233359 Yaw vel:  -0.655 Yaw acc:  -9.89 yaw Deseada:  -65.4681290317 Control: 1365.39447388 Error:  53.8348056958 
yaw:  -16.2656942348 Yaw vel:  -0.83 Yaw acc:  -9.83 yaw Deseada:  -69.4402542832 Control: 1367.06653387 Error:  53.1745600484 
yaw:  -16.2656942348 Yaw vel:  -0.83 Yaw acc:  -9.83 yaw Deseada:  -73.1777735648 Control: 1357.7031954 Error:  56.91207933 
yaw:  -21.8387375692 Yaw vel:  -0.993 Yaw acc:  -9.85 yaw Deseada:  -76.6411848225 Control: 1363.00325384 Error:  54.8024472533 
yaw:  -21.8387375692 Yaw vel:  -0.993 Yaw acc:  -9.85 yaw Deseada:  -79.7935588593 Control: 1355.09894452 Error:  57.9548212901 
yaw:  -28.3357449888 Yaw vel:  -1.135 Yaw acc:  -9.96 yaw Deseada:  -82.6010237966 Control: 1364.35318881 Error:  54.2652788078 
yaw:  -28.3357449888 Yaw vel:  -1.135 Yaw acc:  -9.96 yaw Deseada:  -85.0332108242 Control: 1358.24553529 Error:  56.6974658354 
yaw:  -35.5452674974 Yaw vel:  -1.249 Yaw acc:  -9.82 yaw Deseada:  -87.0636553378 Control: 1371.22702468 Error:  51.5183878404 
yaw:  -35.5452674974 Yaw vel:  -1.249 Yaw acc:  -9.82 yaw Deseada:  -88.6701481474 Control: 1367.18066686 Error:  53.1248806499 
yaw:  -43.139877779 Yaw vel:  -1.293 Yaw acc:  -9.96 yaw Deseada:  -89.8350320984 Control: 1383.29065271 Error:  46.6951543194 
yaw:  -43.139877779 Yaw vel:  -1.293 Yaw acc:  -9.96 yaw Deseada:  -90.5454401649 Control: 1381.48294134 Error:  47.4055623859 
