yaw:  -108.832480122 Yaw vel:  -0.301 Yaw acc:  -9.92 yaw Deseada:  -62.3689820198 Control: 1616.17812083 Error:  -46.463498102 
yaw:  -109.802633361 Yaw vel:  -0.037 Yaw acc:  -9.92 yaw Deseada:  -57.2845363924 Control: 1631.31831928 Error:  -52.5180969689 
yaw:  -109.802633361 Yaw vel:  -0.037 Yaw acc:  -9.92 yaw Deseada:  -52.2427800249 Control: 1643.91884735 Error:  -57.5598533364 
yaw:  -109.046271873 Yaw vel:  0.298 Yaw acc:  -9.69 yaw Deseada:  -47.2862609626 Control: 1654.41603194 Error:  -61.7600109104 
yaw:  -109.046271873 Yaw vel:  0.298 Yaw acc:  -9.69 yaw Deseada:  -42.4552749192 Control: 1666.49589848 Error:  -66.5909969539 
yaw:  -106.255060427 Yaw vel:  0.657 Yaw acc:  -9.77 yaw Deseada:  -37.7873723339 Control: 1671.17636953 Error:  -68.4676880933 
yaw:  -106.255060427 Yaw vel:  0.657 Yaw acc:  -9.77 yaw Deseada:  -33.3169033659 Control: 1682.36242085 Error:  -72.9381570613 
yaw:  -101.509554275 Yaw vel:  0.657 Yaw acc:  -9.77 yaw Deseada:  -29.0746067691 Control: 1681.08545226 Error:  -72.4349475057 
yaw:  -101.509554275 Yaw vel:  0.961 Yaw acc:  -9.83 yaw Deseada:  -25.0872480083 Control: 1691.07094982 Error:  -76.4223062666 
yaw:  -95.2321596351 Yaw vel:  1.179 Yaw acc:  -10.02 yaw Deseada:  -21.3773113219 Control: 1684.62734496 Error:  -73.8548483133 
yaw:  -95.2321596351 Yaw vel:  1.179 Yaw acc:  -10.02 yaw Deseada:  -17.9627497262 Control: 1693.18652437 Error:  -77.2694099089 
yaw:  -87.8574063128 Yaw vel:  1.353 Yaw acc:  -10.07 yaw Deseada:  -14.8567961839 Control: 1682.48527561 Error:  -73.0006101289 
yaw:  -87.8574063128 Yaw vel:  1.353 Yaw acc:  -10.07 yaw Deseada:  -12.0678383514 Control: 1689.48453507 Error:  -75.7895679614 
