yaw:  4.03604714613 Yaw vel:  0.342 Yaw acc:  -9.89 yaw Deseada:  -1.46611289861 Control: 1486.23679404 Error:  5.50216004475 
yaw:  4.03604714613 Yaw vel:  0.299 Yaw acc:  -9.9 yaw Deseada:  -1.92907619185 Control: 1485.08576496 Error:  5.96512333798 
yaw:  5.53273668056 Yaw vel:  0.263 Yaw acc:  -9.91 yaw Deseada:  -2.02197678362 Control: 1481.10831826 Error:  7.55471346418 
yaw:  5.53273668056 Yaw vel:  0.263 Yaw acc:  -9.91 yaw Deseada:  -1.72580852471 Control: 1481.85454949 Error:  7.25854520527 
yaw:  6.85384126133 Yaw vel:  0.241 Yaw acc:  -9.94 yaw Deseada:  -1.02712860945 Control: 1480.29565781 Error:  7.88096987079 
yaw:  6.85384126133 Yaw vel:  0.241 Yaw acc:  -9.94 yaw Deseada:  0.0817380165261 Control: 1483.07315764 Error:  6.77210324481 
yaw:  8.05425810702 Yaw vel:  0.222 Yaw acc:  -9.81 yaw Deseada:  1.60257719118 Control: 1483.87178464 Error:  6.45168091584 
yaw:  8.05425810702 Yaw vel:  0.222 Yaw acc:  -9.81 yaw Deseada:  3.53124876744 Control: 1488.69841651 Error:  4.52300933958 
yaw:  9.15603592204 Yaw vel:  0.204 Yaw acc:  -9.84 yaw Deseada:  5.85773507682 Control: 1491.75801932 Error:  3.29830084522 
yaw:  9.15603592204 Yaw vel:  0.204 Yaw acc:  -9.84 yaw Deseada:  8.56627393525 Control: 1498.53393499 Error:  0.589761986787 
yaw:  10.1858141517 Yaw vel:  0.204 Yaw acc:  -9.84 yaw Deseada:  11.635574285 Control: 1503.63067965 Error:  -1.44976013327 
yaw:  10.1858141517 Yaw vel:  0.195 Yaw acc:  -9.84 yaw Deseada:  15.0391113778 Control: 1512.14372086 Error:  -4.85329722615 
yaw:  11.1500831832 Yaw vel:  0.195 Yaw acc:  -9.84 yaw Deseada:  18.7454972617 Control: 1518.99697594 Error:  -7.59541407842 
yaw:  11.1500831832 Yaw vel:  0.183 Yaw acc:  -9.83 yaw Deseada:  22.7189212474 Control: 1528.93432484 Error:  -11.5688380642 
yaw:  12.0629499186 Yaw vel:  0.174 Yaw acc:  -9.88 yaw Deseada:  26.9196540295 Control: 1537.15187886 Error:  -14.8567041109 
yaw:  12.0629499186 Yaw vel:  0.174 Yaw acc:  -9.88 yaw Deseada:  31.304608215 Control: 1548.11763929 Error:  -19.2416582964 
yaw:  12.9307587499 Yaw vel:  0.161 Yaw acc:  -9.73 yaw Deseada:  35.827947207 Control: 1557.25421893 Error:  -22.8971884571 
yaw:  12.9307587499 Yaw vel:  0.161 Yaw acc:  -9.73 yaw Deseada:  40.4417336907 Control: 1568.79163216 Error:  -27.5109749408 
yaw:  13.7721518245 Yaw vel:  0.167 Yaw acc:  -9.87 yaw Deseada:  45.0966084035 Control: 1578.32287283 Error:  -31.324456579 
yaw:  13.7721518245 Yaw vel:  0.167 Yaw acc:  -9.87 yaw Deseada:  49.7424894312 Control: 1589.94013464 Error:  -35.9703376067 
yaw:  14.747928871 Yaw vel:  0.167 Yaw acc:  -9.87 yaw Deseada:  54.329281981 Control: 1598.96448904 Error:  -39.58135311 
yaw:  14.747928871 Yaw vel:  0.207 Yaw acc:  -9.81 yaw Deseada:  58.8075884282 Control: 1610.16292123 Error:  -44.0596595572 
yaw:  16.1102749878 Yaw vel:  0.284 Yaw acc:  -9.92 yaw Deseada:  63.1294084311 Control: 1617.55693408 Error:  -47.0191334434 
yaw:  16.1102749878 Yaw vel:  0.284 Yaw acc:  -9.92 yaw Deseada:  67.2488190515 Control: 1627.85902618 Error:  -51.1385440638 
yaw:  18.0333898807 Yaw vel:  0.398 Yaw acc:  -9.95 yaw Deseada:  71.1226251042 Control: 1632.72908526 Error:  -53.0892352236 
yaw:  18.0333898807 Yaw vel:  0.398 Yaw acc:  -9.95 yaw Deseada:  74.7109703892 Control: 1641.70498215 Error:  -56.6775805085 
yaw:  20.7287447441 Yaw vel:  0.532 Yaw acc:  -9.87 yaw Deseada:  77.9779010203 Control: 1643.12464758 Error:  -57.2491562762 
yaw:  20.7287447441 Yaw vel:  0.532 Yaw acc:  -9.87 yaw Deseada:  80.8918727561 Control: 1650.41677599 Error:  -60.163128012 
yaw:  24.1686448687 Yaw vel:  0.653 Yaw acc:  -9.76 yaw Deseada:  83.4261950402 Control: 1648.14109246 Error:  -59.2575501715 
yaw:  24.1686448687 Yaw vel:  0.653 Yaw acc:  -9.76 yaw Deseada:  85.5594053722 Control: 1653.48345624 Error:  -61.3907605035 
yaw:  28.2184381974 Yaw vel:  0.653 Yaw acc:  -9.76 yaw Deseada:  87.2755686302 Control: 1647.63565598 Error:  -59.0571304328 
yaw:  28.2184381974 Yaw vel:  0.744 Yaw acc:  -9.89 yaw Deseada:  88.5644970451 Control: 1650.86910696 Error:  -60.3460588477 
yaw:  32.6895688205 Yaw vel:  0.744 Yaw acc:  -9.89 yaw Deseada:  89.4218876696 Control: 1641.81969614 Error:  -56.7323188491 
yaw:  32.6895688205 Yaw vel:  0.804 Yaw acc:  -10.01 yaw Deseada:  89.8493753698 Control: 1642.90082943 Error:  -57.1598065492 
yaw:  37.4045645178 Yaw vel:  0.834 Yaw acc:  -9.97 yaw Deseada:  89.8545005823 Control: 1631.11037496 Error:  -52.4499360645 
yaw:  37.4045645178 Yaw vel:  0.834 Yaw acc:  -9.97 yaw Deseada:  89.4505923076 Control: 1630.1138291 Error:  -52.0460277898 
yaw:  42.2237786565 Yaw vel:  0.845 Yaw acc:  -10.06 yaw Deseada:  88.6565680261 Control: 1616.06473728 Error:  -46.4327893696 
yaw:  42.2237786565 Yaw vel:  0.845 Yaw acc:  -10.06 yaw Deseada:  87.496653421 Control: 1613.17862561 Error:  -45.2728747644 
yaw:  46.9990644336 Yaw vel:  0.845 Yaw acc:  -10.06 yaw Deseada:  86.0000259439 Control: 1597.48314903 Error:  -39.0009615103 
yaw:  46.9990644336 Yaw vel:  0.826 Yaw acc:  -10.08 yaw Deseada:  84.2003873549 Control: 1592.99778299 Error:  -37.2013229213 
yaw:  51.5443674961 Yaw vel:  0.775 Yaw acc:  -9.94 yaw Deseada:  82.1354713891 Control: 1576.45747054 Error:  -30.591103893 
yaw:  51.5443674961 Yaw vel:  0.775 Yaw acc:  -9.94 yaw Deseada:  79.8464936371 Control: 1570.74829036 Error:  -28.3021261411 
yaw:  55.6885916051 Yaw vel:  0.69 Yaw acc:  -9.98 yaw Deseada:  77.3775515549 Control: 1554.20210579 Error:  -21.6889599498 
yaw:  55.6885916051 Yaw vel:  0.69 Yaw acc:  -9.98 yaw Deseada:  74.7749832375 Control: 1547.70799329 Error:  -19.0863916324 
yaw:  59.3046884121 Yaw vel:  0.599 Yaw acc:  -9.89 yaw Deseada:  72.0866941837 Control: 1531.93567187 Error:  -12.7820057716 
yaw:  59.3046884121 Yaw vel:  0.599 Yaw acc:  -9.89 yaw Deseada:  69.3614617387 Control: 1525.13357285 Error:  -10.0567733266 
yaw:  62.3907727848 Yaw vel:  0.599 Yaw acc:  -9.89 yaw Deseada:  66.648227223 Control: 1510.62584677 Error:  -4.25745443818 
yaw:  62.3907727848 Yaw vel:  0.508 Yaw acc:  -9.85 yaw Deseada:  63.9953859321 Control: 1504.00339615 Error:  -1.60461314725 
yaw:  64.952974818 Yaw vel:  0.421 Yaw acc:  -9.89 yaw Deseada:  61.4500852233 Control: 1491.22711203 Error:  3.50288959466 
yaw:  64.952974818 Yaw vel:  0.421 Yaw acc:  -9.89 yaw Deseada:  59.0575407884 Control: 1485.25407808 Error:  5.89543402957 
yaw:  67.0704359135 Yaw vel:  0.421 Yaw acc:  -9.89 yaw Deseada:  56.860380949 Control: 1474.46163297 Error:  10.2100549645 
yaw:  67.0704359135 Yaw vel:  0.361 Yaw acc:  -9.8 yaw Deseada:  54.89802841 Control: 1469.56296483 Error:  12.1724075035 
yaw:  68.8679914389 Yaw vel:  0.311 Yaw acc:  -9.91 yaw Deseada:  53.2061283649 Control: 1460.83464503 Error:  15.6618630741 
yaw:  68.8679914389 Yaw vel:  0.311 Yaw acc:  -9.91 yaw Deseada:  51.8160311829 Control: 1457.36583831 Error:  17.051960256 
yaw:  70.4165182672 Yaw vel:  0.311 Yaw acc:  -9.91 yaw Deseada:  50.7543371203 Control: 1450.83654686 Error:  19.6621811469 
yaw:  70.4165182672 Yaw vel:  0.268 Yaw acc:  -9.86 yaw Deseada:  50.0425096067 Control: 1449.06279684 Error:  20.3740086605 
