yaw:  -99.2014557694 Yaw vel:  -0.69 Yaw acc:  -9.86 yaw Deseada:  -116.458307185 Control: 1456.87356493 Error:  17.2568514159 
yaw:  -99.2014557694 Yaw vel:  -0.662 Yaw acc:  -9.77 yaw Deseada:  -117.923500398 Control: 1453.18599949 Error:  18.722044629 
yaw:  -103.110202277 Yaw vel:  -0.662 Yaw acc:  -9.77 yaw Deseada:  -119.337292165 Control: 1459.44740845 Error:  16.2270898886 
yaw:  -103.110202277 Yaw vel:  -0.621 Yaw acc:  -9.84 yaw Deseada:  -120.698267623 Control: 1456.0215833 Error:  17.5880653466 
yaw:  -106.834615639 Yaw vel:  -0.621 Yaw acc:  -9.84 yaw Deseada:  -122.005050919 Control: 1462.08857002 Error:  15.1704352806 
yaw:  -106.834615639 Yaw vel:  -0.598 Yaw acc:  -9.8 yaw Deseada:  -123.25630657 Control: 1458.93818777 Error:  16.4216909311 
yaw:  -110.395486951 Yaw vel:  -0.598 Yaw acc:  -9.8 yaw Deseada:  -124.450740786 Control: 1464.87620746 Error:  14.0552538347 
yaw:  -110.395486951 Yaw vel:  -0.571 Yaw acc:  -9.71 yaw Deseada:  -125.587102762 Control: 1462.01407482 Error:  15.1916158106 
yaw:  -113.794339346 Yaw vel:  -0.541 Yaw acc:  -9.77 yaw Deseada:  -126.664185926 Control: 1467.8394492 Error:  12.8698465799 
yaw:  -113.794339346 Yaw vel:  -0.541 Yaw acc:  -9.77 yaw Deseada:  -127.680829154 Control: 1465.27761774 Error:  13.8864898081 
yaw:  -116.986715123 Yaw vel:  -0.541 Yaw acc:  -9.77 yaw Deseada:  -128.63591794 Control: 1470.89054132 Error:  11.6492028177 
yaw:  -116.986715123 Yaw vel:  -0.502 Yaw acc:  -9.76 yaw Deseada:  -129.528385529 Control: 1468.64042055 Error:  12.5416704057 
yaw:  -119.945744317 Yaw vel:  -0.502 Yaw acc:  -9.76 yaw Deseada:  -130.357214001 Control: 1473.98422047 Error:  10.4114696848 
yaw:  -119.945744317 Yaw vel:  -0.464 Yaw acc:  -9.81 yaw Deseada:  -131.121435326 Control: 1472.05614737 Error:  11.1756910096 
yaw:  -122.661646097 Yaw vel:  -0.464 Yaw acc:  -9.81 yaw Deseada:  -131.820132355 Control: 1477.11599011 Error:  9.15848625869 
yaw:  -122.661646097 Yaw vel:  -0.419 Yaw acc:  -9.8 yaw Deseada:  -132.452439782 Control: 1475.51919057 Error:  9.79079368553 
yaw:  -125.080625893 Yaw vel:  -0.419 Yaw acc:  -9.8 yaw Deseada:  -133.01754505 Control: 1480.16891506 Error:  7.93691915732 
yaw:  -125.080625893 Yaw vel:  -0.368 Yaw acc:  -9.8 yaw Deseada:  -133.514689216 Control: 1478.91183538 Error:  8.43406332293 
yaw:  -127.197164913 Yaw vel:  -0.368 Yaw acc:  -9.8 yaw Deseada:  -133.943167761 Control: 1483.14519881 Error:  6.7460028481 
yaw:  -127.197164913 Yaw vel:  -0.315 Yaw acc:  -9.75 yaw Deseada:  -134.302331359 Control: 1482.23491284 Error:  7.10516644623 
yaw:  -129.020880063 Yaw vel:  -0.315 Yaw acc:  -9.75 yaw Deseada:  -134.59158659 Control: 1486.08250721 Error:  5.57070652723 
yaw:  -129.020880063 Yaw vel:  -0.273 Yaw acc:  -9.72 yaw Deseada:  -134.810396605 Control: 1485.52488653 Error:  5.78951654196 
yaw:  -130.561374589 Yaw vel:  -0.273 Yaw acc:  -9.72 yaw Deseada:  -134.958281739 Control: 1489.01614499 Error:  4.39690715061 
yaw:  -130.561374589 Yaw vel:  -0.222 Yaw acc:  -9.81 yaw Deseada:  -135.034820076 Control: 1488.815924 Error:  4.47344548744 
yaw:  -131.803089319 Yaw vel:  -0.222 Yaw acc:  -9.81 yaw Deseada:  -135.039647954 Control: 1491.91607254 Error:  3.23655863494 
yaw:  -131.803089319 Yaw vel:  -0.176 Yaw acc:  -9.85 yaw Deseada:  -134.972460426 Control: 1492.07697787 Error:  3.16937110656 
yaw:  -132.809585996 Yaw vel:  -0.141 Yaw acc:  -9.8 yaw Deseada:  -134.833011659 Control: 1494.94835302 Error:  2.02342566381 
yaw:  -132.809585996 Yaw vel:  -0.141 Yaw acc:  -9.8 yaw Deseada:  -134.621115289 Control: 1495.47245556 Error:  1.81152929308 
yaw:  -133.621681827 Yaw vel:  -0.141 Yaw acc:  -9.8 yaw Deseada:  -134.336644709 Control: 1498.21920925 Error:  0.714962881774 
yaw:  -133.621681827 Yaw vel:  -0.114 Yaw acc:  -9.8 yaw Deseada:  -133.979533319 Control: 1499.10752557 Error:  0.357851491304 
yaw:  -134.265836968 Yaw vel:  -0.114 Yaw acc:  -9.8 yaw Deseada:  -133.549774703 Control: 1501.79663283 Error:  -0.716062265123 
yaw:  -134.265836968 Yaw vel:  -0.087 Yaw acc:  -9.82 yaw Deseada:  -133.047422767 Control: 1503.04906476 Error:  -1.21841420117 
yaw:  -134.755329305 Yaw vel:  -0.087 Yaw acc:  -9.82 yaw Deseada:  -132.472591811 Control: 1505.71326048 Error:  -2.28273749415 
yaw:  -134.755329305 Yaw vel:  -0.062 Yaw acc:  -9.8 yaw Deseada:  -131.825456551 Control: 1507.32858264 Error:  -2.92987275368 
yaw:  -134.755329305 Yaw vel:  -0.04 Yaw acc:  -9.85 yaw Deseada:  -131.106252086 Control: 1509.12702735 Error:  -3.6490772193 
yaw:  -135.103108877 Yaw vel:  -0.04 Yaw acc:  -9.85 yaw Deseada:  -130.315273803 Control: 1511.97644905 Error:  -4.7878350745 
yaw:  -135.332603233 Yaw vel:  -0.021 Yaw acc:  -9.8 yaw Deseada:  -129.452877237 Control: 1514.70589265 Error:  -5.87972599665 
yaw:  -135.332603233 Yaw vel:  -0.021 Yaw acc:  -9.8 yaw Deseada:  -128.519477867 Control: 1517.03843517 Error:  -6.81312536613 
yaw:  -135.446257581 Yaw vel:  -0.021 Yaw acc:  -9.8 yaw Deseada:  -127.515550863 Control: 1519.83349651 Error:  -7.93070671785 
yaw:  -135.446257581 Yaw vel:  0.0 Yaw acc:  -9.81 yaw Deseada:  -126.441630773 Control: 1522.51803252 Error:  -9.00462680848 
yaw:  -135.450956751 Yaw vel:  0.0 Yaw acc:  -9.81 yaw Deseada:  -125.298311157 Control: 1525.38852421 Error:  -10.1526455947 
yaw:  -135.450956751 Yaw vel:  0.02 Yaw acc:  -9.83 yaw Deseada:  -124.08624417 Control: 1528.41907574 Error:  -11.3647125809 
yaw:  -135.336346177 Yaw vel:  0.039 Yaw acc:  -9.85 yaw Deseada:  -122.806140089 Control: 1531.33252782 Error:  -12.5302060876 
