yaw:  -83.5666883064 Yaw vel:  0.173 Yaw acc:  -9.91 yaw Deseada:  -64.2207648001 Control: 1548.36534773 Error:  -19.3459235063 
yaw:  -83.5666883064 Yaw vel:  0.173 Yaw acc:  -9.91 yaw Deseada:  -63.3200639391 Control: 1550.61859732 Error:  -20.2466243673 
yaw:  -82.4429992445 Yaw vel:  0.251 Yaw acc:  -9.86 yaw Deseada:  -62.4059575388 Control: 1550.09213045 Error:  -20.0370417057 
yaw:  -82.4429992445 Yaw vel:  0.251 Yaw acc:  -9.86 yaw Deseada:  -61.4798856557 Control: 1552.40987742 Error:  -20.9631135889 
yaw:  -80.8162804106 Yaw vel:  0.327 Yaw acc:  -9.85 yaw Deseada:  -60.5432926481 Control: 1550.68090945 Error:  -20.2729877625 
yaw:  -80.8162804106 Yaw vel:  0.327 Yaw acc:  -9.85 yaw Deseada:  -59.5976255763 Control: 1553.04877451 Error:  -21.2186548343 
yaw:  -78.8157658141 Yaw vel:  0.386 Yaw acc:  -9.94 yaw Deseada:  -58.6443326018 Control: 1550.42621625 Error:  -20.1714332122 
yaw:  -78.8157658141 Yaw vel:  0.386 Yaw acc:  -9.94 yaw Deseada:  -57.6848613891 Control: 1552.82942936 Error:  -21.130904425 
yaw:  -76.5671719167 Yaw vel:  0.435 Yaw acc:  -9.89 yaw Deseada:  -56.7206575101 Control: 1549.61338366 Error:  -19.8465144065 
yaw:  -76.5671719167 Yaw vel:  0.435 Yaw acc:  -9.89 yaw Deseada:  -55.7531628542 Control: 1552.03720876 Error:  -20.8140090624 
yaw:  -74.0600826799 Yaw vel:  0.468 Yaw acc:  -9.92 yaw Deseada:  -54.783814044 Control: 1548.18719726 Error:  -19.2762686359 
yaw:  -74.0600826799 Yaw vel:  0.468 Yaw acc:  -9.92 yaw Deseada:  -53.8140408596 Control: 1550.61729547 Error:  -20.2460418203 
yaw:  -71.3832632423 Yaw vel:  0.492 Yaw acc:  -9.95 yaw Deseada:  -52.8452646726 Control: 1546.34113789 Error:  -18.5379985696 
yaw:  -71.3832632423 Yaw vel:  0.492 Yaw acc:  -9.95 yaw Deseada:  -51.8788968916 Control: 1548.76309877 Error:  -19.5043663507 
yaw:  -68.6127472696 Yaw vel:  0.507 Yaw acc:  -9.95 yaw Deseada:  -50.9163374198 Control: 1544.236941 Error:  -17.6964098498 
yaw:  -68.6127472696 Yaw vel:  0.507 Yaw acc:  -9.95 yaw Deseada:  -49.9589731283 Control: 1546.63659759 Error:  -18.6537741413 
yaw:  -65.7641075933 Yaw vel:  0.508 Yaw acc:  -9.89 yaw Deseada:  -49.0081763443 Control: 1541.88554212 Error:  -16.7559312489 
yaw:  -65.7641075933 Yaw vel:  0.508 Yaw acc:  -9.89 yaw Deseada:  -48.0653033574 Control: 1544.24913977 Error:  -17.6988042359 
yaw:  -62.8795411218 Yaw vel:  0.51 Yaw acc:  -9.87 yaw Deseada:  -47.1316929445 Control: 1539.36521515 Error:  -15.7478481773 
yaw:  -62.8795411218 Yaw vel:  0.51 Yaw acc:  -9.87 yaw Deseada:  -46.2086649162 Control: 1541.67927457 Error:  -16.6708762057 
yaw:  -59.9371980802 Yaw vel:  0.513 Yaw acc:  -9.88 yaw Deseada:  -45.2975186836 Control: 1536.59461271 Error:  -14.6396793966 
yaw:  -59.9371980802 Yaw vel:  0.513 Yaw acc:  -9.88 yaw Deseada:  -44.3995318505 Control: 1538.84619279 Error:  -15.5376662298 
yaw:  -57.0736139499 Yaw vel:  0.506 Yaw acc:  -9.81 yaw Deseada:  -43.5159588286 Control: 1533.88966825 Error:  -13.5576551213 
yaw:  -57.0736139499 Yaw vel:  0.506 Yaw acc:  -9.81 yaw Deseada:  -42.6480294805 Control: 1536.06592023 Error:  -14.4255844694 
yaw:  -54.3379421873 Yaw vel:  0.506 Yaw acc:  -9.81 yaw Deseada:  -41.7969477895 Control: 1531.34823248 Error:  -12.5409943979 
yaw:  -54.3379421873 Yaw vel:  0.488 Yaw acc:  -9.81 yaw Deseada:  -40.9638905582 Control: 1533.43700914 Error:  -13.3740516291 
yaw:  -51.5997978963 Yaw vel:  0.469 Yaw acc:  -9.89 yaw Deseada:  -40.1500061388 Control: 1528.620137 Error:  -11.4497917575 
yaw:  -51.5997978963 Yaw vel:  0.469 Yaw acc:  -9.89 yaw Deseada:  -39.3564131928 Control: 1530.61025249 Error:  -12.2433847034 
